DENOM_CIA;CD_CVM
CIA INDUSTRIAL CATAGUASES;3395
BRISANET PARTICIPAÇÕES S.A.;26085
ALLIED TECNOLOGIA S.A.;25330
OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;23507
VITRU BRASIL EMPREENDIMENTOS, PARTICIPAÇÕES E COMÉRCIO S.A.;27057
OLIVEIRA TRUST S.A.;26417
AGROGALAXY PARTICIPAÇÕES S.A.;25658
MOVIDA PARTICIPACOES SA;23825
COMPASS GÁS E ENERGIA S.A.;25127
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;23795
ALMACENES ÉXITO S.A.;80225
PATRIMAR ENGENHARIA S.A.;25305
VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;24716
TRIPLE PLAY BRASIL PARTICIPAÇÕES S.A.;25194
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;25070
BRK AMBIENTAL PARTICIPAÇÕES S.A.;24830
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A;24120
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.;26204
GRUPO MATEUS S.A.;25186
HOSPITAL CARE CALEDONIA S.A.;25771
COMERC ENERGIA S.A.;26280
TC S.A.;26077
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.;25062
MPM CORPÓREOS S.A.;25445
TURBI COMPARTILHAMENTO DE VEÍCULOS S.A.;27197
MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.;22012
CONSTRUTORA METROCASA S.A.;27340
BANESTES S.A. - BCO EST ESPIRITO SANTO;1155
ENERGISA TRANSMISSÃO DE ENERGIA S/A;24589
AUREN ENERGIA S.A.;26620
SAO CARLOS EMPREEND E PARTICIPACOES S.A.;13781
OCEÂNICA ENGENHARIA E CONSULTORIA S.A.;26956
TEGRA INCORPORADORA S.A.;25844
HAGA S.A. INDUSTRIA E COMERCIO;13366
CELEO REDES TRANSMISSÃO DE ENERGIA S.A.;24597
MOBLY S.A.;25461
VERO S.A.;26409
ORIGEM ENERGIA S.A.;27227
HÉLIO VALGAS SOLAR PARTICIPAÇÕES S.A.;27332
VIX LOGÍSTICA S.A.;21202
NATURA &CO HOLDING S.A.;24783
PETROLEO BRASILEIRO S.A. PETROBRAS;9512
JOAO FORTES ENGENHARIA S.A. - EM RECUPERAÇÃO JUDICIAL;7811
GRUPO CASAS BAHIA S.A.;6505
CIA SIDERURGICA NACIONAL;4030
MONTEIRO ARANHA S.A.;8893
VALID SOLUÇÕES S.A.;20028
WILSON SONS S.A.;26247
HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;6700
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;11070
ULTRAPAR PARTICIPACOES S.A.;18465
IRB - BRASIL RESSEGUROS S.A.;24180
SONDOTECNICA ENGENHARIA SOLOS S.A.;10880
TEKNO S.A. - INDUSTRIA E COMERCIO;11231
VALE S.A.;4170
GERDAU S.A.;3980
VIVARA PARTICIPAÇÕES S.A.;24805
UNIPAR CARBOCLORO S.A.;11592
VIBRA ENERGIA S/A;24295
EZ INC INCORPORAÇÕES COMERCIAIS S.A.;25380
BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.;27499
QUALITY SOFTWARE S.A.;23302
INSPIRALI EDUCAÇÃO S.A.;27251
BRQ SOLUCOES EM INFORMATICA S.A.;23817
AES BRASIL ENERGIA S.A.;25640
